year,dish,category,revenue,qty,orders
2025,750 мл Пино Гриджио Корвеццо. Италия. Венето,БЕЛОЕ ВИНО БУТЫЛКИ,48399.0,14.0,8
2025,Оладьи из цукини c домашней сметаной ,ЗАВТРАК,48346.1215,95.0,88
2025,Д.L.Алла Диавола,Д.ПИЦЦА L,48076.0,51.0,42
2025,40 мл Виски Синглтон 12 лет,ВИСКИ,47876.25,75.5,13
2025,25 см/Пицца «Четыре сыра»,ПИЦЦА S,47725.5535,65.0,63
2025,"125 мл Кьянти Конти Серристори. Италья, Тоскана",КРАСНОЕ ВИНО ПО БОКАЛАМ,47588.125499999995,87.0,43
2025,Салат деревенский со сметаной ,САЛАТЫ,47452.74600000001,102.0,89
2025,"Шоколадный торт ""Опера""",ДЕСЕРТЫ,47199.15700000001,117.0,110
2025,Капрезе Фиор ди Латте,ЗАКУСКИ,46986.4275,75.0,47
2025,Д.ДМ/Куриные котлетки +,Д.ДЕТСКОЕ МЕНЮ,46974.39999999995,157.0,137
2025,25 см/Пицца с беконом и маскарпоне,ПИЦЦА S,46515.263999999996,72.0,70
2025,25 см/Пицца с ветчиной и грибами,ПИЦЦА S,46488.149000000005,73.0,73
2025,ДМ/Куриные котлеты,ДЕТСКОЕ МЕНЮ,46408.18949999999,165.0,146
2025,Панна котта с клубникой,ДЕСЕРТЫ,46074.479499999994,115.0,106
2025,Скрэмбл с ветчиной Cotto и сыром,ЗАВТРАК,46067.19499999999,82.0,74
2025,ДМ/Куриный суп с макарошками,ДЕТСКОЕ МЕНЮ,45907.888000000006,198.0,164
2025,"750 мл Ясмин Бранко, Винье Верде, Португалия",БЕЛОЕ ВИНО БУТЫЛКИ,45815.0,15.0,6
2025,Д.Запечённый ролл с лососем +,Д.ПАНАЗИЯ,45777.59999999998,68.0,57
2025,125 мл Мальбек Септима.Аргентина.Мендоса ,КРАСНОЕ ВИНО ПО БОКАЛАМ,45317.631,69.0,38
2025,Глинтвейн б/а,КОКТЕЙЛИ,45176.50549999998,131.0,96
2025,Калифорния с крабом,ПАНАЗИЯ,44817.729,59.0,53
2025,32 см/Пицца с мортаделлой и трюфельным кремом,ПИЦЦА L,44408.267,40.0,38
2025,Коктейль Беллини,КОКТЕЙЛИ,43802.97350000001,72.0,54
2025,Д.L.Алла Диавола +,Д.ПИЦЦА L,43792.0,46.0,44
2025,"Смородиновый морс 0,2",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,43677.777,211.0,96
2025,Д.Вителло Тоннато +,Д.ЗАКУСКИ,43599.900000000045,62.0,61
2025,"Щавеленый дюшес 0,3",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,43374.565,139.0,121
2025,Д.Сметанник с клубникой и йогуртом +,Д.ДЕСЕРТЫ,43186.799999999945,73.0,72
2025,25 см/Пицца с грушей и горгонзолой,ПИЦЦА S,42650.892,62.0,61
2025,"Сок яблоко 0,2",БЕЗАЛКОГОЛЬНЫЕ НАПИТКИ,42599.891999999985,163.0,112
2025,Греча с пармезаном,ГАРНИРЫ,42269.4715,110.0,101
2025,Д.Стейк из лосося с брокколи и шпинатом,Д.РЫБА,42160.0,32.0,26
2025,Д.L.Маргарита +,Д.ПИЦЦА L,41983.200000000026,63.0,53
2025,Запеченый ролл с креветкой в соусе сэм с омлетом и луком сибулет,ПАНАЗИЯ,41833.583,80.0,69
2025,50 гр Вяленые томаты,ЗАКУСКИ,41550.465,130.0,108
2025,Большой итальянский завтрак с ветчиной Cotto,ЗАВТРАК,41439.931000000004,44.0,42
2025,Эликсир / Elixir cocktail,СПЕШЛ,41042.130999999994,72.0,55
2025,Д.Морепродукты на гриле в соусе берблан+,Д.РЫБА,40568.799999999974,38.0,35
2025,Брускетта с рикоттой и сладкими томатами,ЗАКУСКИ,40405.4555,109.0,82
2025,Д.Запечённый ролл с крабом  +,Д.ПАНАЗИЯ,40392.0,60.0,55
2025,Д.Четыре сыра +,Д.ПАСТА,39630.399999999994,47.0,43
2025,Блинчики 3 шт,СПЕШЛ,39420.3225,126.75,95
2025,Сенча,ЧАЙНАЯ КАРТА,38723.875,73.5,65
2025,25 см/Пицца «Маргарита»,ПИЦЦА S,38713.18200000001,81.0,79
2025,Д.Тёплый салат с ростбифом +,Д.САЛАТЫ,38562.79999999997,53.0,48
2025,Миллефолье,ДЕСЕРТЫ,38247.3735,49.0,39
2025,Д.Зелёный салат с томатами и авокадо,Д.САЛАТЫ,38092.495,51.0,45
2025,Д.Ризотто с белыми грибами +,Д.ПАСТА,37944.0,45.0,41
2025,Д.Лосось и брокколи +,Д.ПАСТА,37944.0,45.0,39
2025,Д.S.Алла Дьявола +,Д.ПИЦЦА S,37821.60000000003,54.0,52
2025,Картофель фри с трюфельным соусом,ГАРНИРЫ,37462.54299999999,112.0,87
2025,Запеченные фапланги краба,РЫБА,37439.7375,8.0,8
2025,Д.Треска с шпинатом и соусом из цветной капусты +,Д.РЫБА,36774.4,32.0,29
2025,40 мл Водка Целовальник,ВОДКА,36516.0,89.5,17
2025,Фокачча с розмарином,ХЛЕБ,35879.63049999999,136.0,113
2025,Д.L.Лосось и маскарпоне,Д.ПИЦЦА L,35637.134,29.0,28
2025,Д.Куриное филе с соусом из белых грибов и трюфеля,Д.МЯСО,34642.6,45.0,41
2025,25 см/Пицца с форелью и маскарпоне,ПИЦЦА S,34397.2135,41.0,40
2025,Д.Цезарь антико с курицей,Д.САЛАТЫ,34186.932,62.0,52
2025,Картофель фри,ГАРНИРЫ,34172.142,133.0,101
2025,Д.Ролл с хрустящим крабом,Д.ПАНАЗИЯ,34008.8145,44.0,35
2025,Эспрессо Двойной 60 мл,КОФЕ,33878.764500000005,125.0,97
2025,Д.L.Четыре сыра +,Д.ПИЦЦА L,33728.0,31.0,31
2025,25 см/Пицца «Алла Дьявола» ,ПИЦЦА S,33225.2675,49.0,49
2025,Рисовая каша с кусочками манго и кокосом,ЗАВТРАК,33204.12800000001,84.0,79
2025,40 мл Виски Акентошан Американ Оак,ВИСКИ,33158.5,50.0,7
2025,Д.Аль Помодоро +,Д.ПАСТА,33048.0,54.0,51
2025,Д.Куриное филе и сливочный песто +,Д.ПАСТА,32741.999999999978,45.0,43
2025,Глинтвейн ,КОКТЕЙЛИ,32717.316,72.0,49
2025,Д.S.Ветчина и грибы +,Д.ПИЦЦА S,32653.60000000003,49.0,48
2025,Салат из запеченной тыквы с киноа,САЛАТЫ,32483.761500000004,63.0,60
2025,125 мл Грюнер Вельтлинер Хандшрифт. Австрия,БЕЛОЕ ВИНО БОКАЛЫ,32453.4845,56.0,33
2025,Эликсир б/а ,СПЕШЛ,32198.9435,57.0,42
2025,Д.L.Бекон и маскарпоне,Д.ПИЦЦА L,32130.0,35.0,29
2025,Д.Треска с шпинатом и соусом из цветной капусты ,Д.РЫБА,32130.0,28.0,24
2025,Д.Алио Олио с креветками +,Д.ПАСТА,31987.199999999975,42.0,42
2025,Д.Греческий салат с нутом и фетой,Д.САЛАТЫ,31824.0,52.0,45
2025,Мороженое Ваниль 50гр,ДЕСЕРТЫ,31741.753999999997,156.0,101
