check_id,date,year,revenue,items_count,qty_total,categories_count,avg_item_price
98009,2026-02-04,2026,1283.5,3,3.0,3,427.8333333333333
98010,2026-02-04,2026,2813.5,5,6.0,4,468.9166666666667
98011,2026-02-04,2026,3876.0,6,6.0,5,646.0
98013,2026-02-04,2026,1181.5,2,2.0,2,590.75
98014,2026-02-04,2026,4913.0,9,12.0,6,409.4166666666667
98015,2026-02-04,2026,16062.45,17,27.0,12,594.9055555555556
98018,2026-02-04,2026,4981.0,9,10.0,6,498.1
98019,2026-02-04,2026,6128.499999999999,11,11.0,6,557.1363636363635
98020,2026-02-04,2026,4505.0,9,9.0,8,500.55555555555554
98021,2026-02-04,2026,0.0,3,3.0,1,0.0
98023,2026-02-04,2026,3621.0,6,7.0,5,517.2857142857143
98024,2026-02-04,2026,5482.5,8,9.0,6,609.1666666666666
98025,2026-02-04,2026,11447.494000000002,14,24.0,6,476.97891666666675
98027,2026-02-04,2026,2499.0,5,5.0,4,499.8
98028,2026-02-04,2026,6332.5,10,16.0,8,395.78125
98031,2026-02-04,2026,3757.0,9,9.0,6,417.44444444444446
98032,2026-02-04,2026,1479.0,3,4.0,3,369.75
98033,2026-02-04,2026,5754.5,7,8.0,6,719.3125
98039,2026-02-04,2026,3340.5,6,6.0,6,556.75
39831,2026-02-05,2026,1020.0,1,2.0,1,510.0
39832,2026-02-05,2026,4100.4,8,8.0,3,512.55
39833,2026-02-05,2026,1422.9,2,2.0,2,711.45
39836,2026-02-05,2026,2575.1174999999994,9,9.0,4,286.1241666666666
39838,2026-02-05,2026,1032.75,2,3.0,1,344.25
39839,2026-02-05,2026,476.0,1,1.0,1,476.0
39840,2026-02-05,2026,1560.6,3,4.0,2,390.15
39843,2026-02-05,2026,1438.1999999999998,2,2.0,2,719.0999999999999
39844,2026-02-05,2026,4374.134,5,5.0,5,874.8268
39845,2026-02-05,2026,2868.75,5,6.0,3,478.125
39847,2026-02-05,2026,4069.7999999999997,7,7.0,5,581.4
39849,2026-02-05,2026,1874.25,3,3.0,3,624.75
39850,2026-02-05,2026,2662.2,4,5.0,3,532.4399999999999
39851,2026-02-05,2026,1785.0,3,4.0,3,446.25
39853,2026-02-05,2026,1705.9499999999998,3,3.0,3,568.65
39854,2026-02-05,2026,5400.9,7,8.0,5,675.1125
39859,2026-02-05,2026,1361.6999999999998,2,3.0,1,453.8999999999999
39861,2026-02-05,2026,1982.1659999999997,5,7.0,3,283.1665714285714
39862,2026-02-05,2026,2847.024,5,5.0,3,569.4048
39864,2026-02-05,2026,1466.7599999999998,2,3.0,2,488.9199999999999
39867,2026-02-05,2026,3082.9500000000003,7,8.0,5,385.36875000000003
39869,2026-02-05,2026,1759.5,2,2.0,2,879.75
39870,2026-02-05,2026,7091.55,12,13.0,10,545.5038461538462
39873,2026-02-05,2026,4169.25,8,8.0,6,521.15625
39875,2026-02-05,2026,2472.5735,3,4.0,2,618.143375
39877,2026-02-05,2026,3434.0,5,6.0,5,572.3333333333334
39882,2026-02-05,2026,4658.0,4,6.0,4,776.3333333333334
39883,2026-02-05,2026,1554.9814999999999,4,5.0,3,310.99629999999996
39888,2026-02-05,2026,3151.7999999999997,4,4.0,2,787.9499999999999
39889,2026-02-05,2026,2310.3,4,7.0,3,330.04285714285714
39890,2026-02-05,2026,2941.0,4,4.0,2,735.25
